name,cnpj,cep,state,city,address,industry_sector,enterprise_type,user_id
ANGLO AMERICAN - Barro Alto,42.184.226/0011-01,76390-000,GO,Barro Alto,"ROD GO 565, S/N/KM 6,2",MINERAÇÃO,a,65
ANGLO AMERICAN - Conceição do Mato Dentro,02.359.572/0003-59,35860-000,MG,Conceição do Mato Dentro,"FAZENDA JARDIM, S/N",MINERAÇÃO,A+,58
ANGLO AMERICAN - Santo Antônio do Grama ,02.359.572/0005-10,35388-000,MG,Santo Antônio do Grama,"FAZENDA CORREGO GRANDE, S/N",mineração,a,58
ANGLO AMERICAN - São João da Barra,02.359.572/0002-78,28200-000,RJ,São João da Barra,"CNJ SACO D ANTAS, S/N",Mineração,A+,48
ANGLO AMERICAN - Niquelândia,42.184.226/0017-05,76420-000,GO,Niquelândia,"RODOVIA GO-532, KM 35,6, S/N",MINERAÇÃO,A+,65
ANGLO FERROUS AMAPÁ MINERAÇÃO LTDA,06.030.747/0002-50,68945-000,AP,Pedra Branca do Amapari,"ESTRADA DO TAPEREBA, S/N/KM 15",Mineração,C,94
Anglogold Metalurgica,,,MG,Nova Lima,,siderurgia,b,61
Anglogold Sabará,,,MG,Sabará,,mineração,b,61
Aperam South American (Timóteo),,,MG,Timóteo,,Mineração,b,58
APIGUANA MAQUINAS E FERRAMENTAS LTDA,07.240.450/0004-43,61932-971,CE,Maracanaú,"R DR MENDEL STEINBRUCH, 7975/LOJA 1, 2, 3, 4",O&M,C,95
AQUAPOLO AMBIENTAL S/A,11.399.666/0001-80,04230-000,SP,Sâo Paulo,"AVENIDA ALMIRANTE DELAMARE, 3000/AREA 1",Saneamento,A,42
ARACAJU SERVICOS AUXILIARES LTDA,13.380.837/0001-55,20040-001,RJ,Rio de Janeiro,"AVENIDA RIO BRANCO, 108/SALA 2401",Naval,B,48
ARAFER COMÉRCIO E SERVIÇOS LTDA,11.348.600/0001-61,29192-736,ES,Aracruz,"RODOVIA LUIZ THEODORO MUSSO, 1114",Revenda,C,49
ARAUBRAS SERVICOS TECNICOS INDUSTRIAIS LTDA,01.500.954/0001-26,83702-220,PR,Araucária,"RUA MIGUEL BERTOLINO PIZATTO, 273/LOJA 05",Outro,C,57
ARAUCO INDUSTRIA DE PAINEIS S/A,00.606.549/0026-82,95780-000,RS,Montenegro,"ROD BR 386, S/N/KM 418",Papel e Celulose,C,71
Arcelor mittal -Itaúna,,,MG,Sabará,,siderurgia,b,61
Arcelor mittal - Sabará,,,MG,Itaúna,,siderurgia,b,61
ARCELORMITTAL - Juiz de Fora,17.469.701/0034-35,36105-000,MG,Juiz de Fora,,MINERAÇÃO,a,61
ARCELORMITTAL - Piracicaba,17.469.701/0049-11,13412-010,SP,Piracicaba,"AVENIDA MARECHAL CASTELO BRANCO, 101",Siderurgia,A,104
ARCELORMITTAL - Serra,17.469.701/0104-82,29160-904,ES,Serra,"AVENIDA BRIGADEIRO EDUARDO GOMES, 526",Siderurgia,A+,49
ArcelorMittal Metálicos - Curitiba,,,PR,Curitiba,,Siderurgia,A,57
ArcelorMittal Metálicos - Três Lagoas,,,MS,Três Lagoas,,siderurgia,a,60
ARCELORMITTAL - Mina do andrade,,,MG,João Monlevade,,Mineração,A,58
ARCELORMITTAL - Mina serra azul,,,MG,Itatiaiuçu,,MINERAÇÃO,a,61
ARCELORMITTAL - MONLEVADE ,17.469.701/0066-12,35930-900,MG,João Monlevade,"AV GETULIO VARGAS, 100",siderurgia,A+,58
ArcelorMittal - São Francisco do Sul,,89490-000,SC,São Francisco do Sul,,Siderurgia,A,57
ARCLIMA ENGENHARIA TERMICA LTDA,40.522.617/0001-91,40330-000,BA,Salvador,"RUA DALMIRO SAO PEDRO, 58",Projetos e Engenharia,,70
ARCOR DO BRASIL LTDA,54.360.656/0017-01,12900-005,SP,Bragança Paulista,"EST MUNIC.FULVIO S.PAGANI, 1301",Alimentos e Bebidas,B,104
AREMBEPE ENERGIA S/A,08.627.559/0001-58,42810-440,BA,Camaçari,"VIA PARAFUSO, KM 17, RODOVIA BA 535, S/N",Energia (Termo),,70
ARLANXEO - Cabo de Santo Agostinho,29.667.227/0010-68,54590-000,PE,Cabo de Santo Agostinho,"RODOVIA BR 101 SUL, SN/KM 99",Petroquímica,B,46
ARLANXEO I - Triunfo ,29.667.227/0006-81,95840-000,RS,Triunfo,"VIA DE CONTORNO, 920",Petroquímica,C,71
